time(mins),Power (kW)
28.84952709,38.6116242
28.89079966,38.64417197
28.93207223,38.67671975
28.9733448,38.69299363
29.01461737,38.66044586
29.05588994,38.62789809
29.09716251,38.64417197
29.13843508,38.66044586
29.17970765,38.66044586
29.22098022,38.64417197
29.26225279,38.62789809
29.30352537,38.66044586
29.34479794,38.69299363
29.38607051,38.69299363
29.42734308,38.69299363
29.46861565,38.67671975
29.50988822,38.67671975
29.55116079,38.69299363
29.59243336,38.66044586
29.63370593,38.46515924
29.6749785,38.40006369
29.71625107,38.31869427
29.75752365,38.0583121
29.79879622,37.92812102
29.84006879,37.86302548
29.88134136,37.89557325
29.92261393,37.97694268
29.9638865,38.00949045
30.00515907,38.00949045
30.04643164,37.99321656
30.08770421,37.97694268
30.12897678,37.97694268
30.17024936,37.99321656
30.21152193,38.07458599
30.2527945,38.18850318
30.29406707,38.30242038
30.33533964,38.41633758
30.37661221,38.53025478
30.41788478,38.64417197
30.45915735,38.7255414
30.50042992,38.75808917
30.54170249,38.75808917
30.58297506,38.74181529
30.62424764,38.7255414
30.66552021,38.7255414
30.70679278,38.70926752
30.74806535,38.67671975
30.78933792,38.41633758
30.83061049,38.36751592
30.87188306,38.00949045
30.91315563,37.65146497
30.9544282,37.48872611
30.99570077,37.03305732
31.03697334,36.90286624
31.07824592,36.85404459
31.11951849,36.80522293
31.16079106,36.74012739
31.20206363,36.69130573
31.2433362,36.69130573
31.28460877,36.7238535
31.32588134,36.77267516
31.36715391,36.82149682
31.40842648,36.82149682
31.44969905,36.78894904
31.49097163,36.74012739
31.5322442,36.69130573
31.57351677,36.62621019
31.61478934,36.59366242
31.65606191,36.56111465
31.69733448,36.47974522
31.73860705,36.43092357
31.77987962,36.43092357
31.82115219,36.44719745
31.86242476,36.46347134
31.90369733,36.49601911
31.94496991,36.49601911
31.98624248,36.52856688
32.02751505,36.60993631
32.06878762,36.67503185
32.11006019,36.74012739
32.15133276,36.77267516
32.19260533,36.77267516
32.2338779,36.74012739
32.27515047,36.70757962
32.31642304,36.69130573
32.35769561,36.87031847
32.39896819,36.96796178
32.44024076,37.0656051
32.48151333,37.35853503
32.5227859,37.68401274
32.56405847,37.78165605
32.60533104,37.74910828
32.64660361,38.00949045
32.68787618,38.10713376
32.72914875,38.18850318
32.77042132,38.41633758
32.8116939,38.57907643
32.85296647,38.70926752
32.89423904,38.75808917
32.93551161,38.74181529
32.97678418,38.75808917
33.01805675,38.92082803
33.05932932,38.92082803
33.10060189,39.05101911
33.14187446,39.42531847
33.18314703,39.79961783
33.2244196,40.02745223
33.26569218,39.88098726
33.30696475,39.89726115
33.34823732,40.02745223
33.38950989,40.04372611
33.43078246,39.97863057
33.47205503,39.9460828
33.5133276,39.99490446
33.55460017,39.99490446
33.59587274,39.92980892
33.63714531,39.86471338
33.67841788,39.86471338
33.71969046,39.86471338
33.76096303,39.89726115
33.8022356,39.9460828
33.84350817,39.96235669
33.88478074,39.9460828
33.92605331,39.86471338
33.96732588,39.81589172
34.00859845,39.81589172
34.04987102,39.78334395
34.09114359,39.81589172
34.13241617,39.88098726
34.17368874,39.96235669
34.21496131,39.99490446
34.25623388,39.89726115
34.29750645,39.71824841
34.33877902,39.37649682
34.38005159,39.26257962
34.42132416,39.18121019
34.46259673,38.96964968
34.5038693,38.90455414
34.54514187,38.8394586
34.58641445,38.79063694
34.62768702,38.75808917
34.66895959,38.74181529
34.71023216,38.70926752
34.75150473,38.66044586
34.7927773,38.6116242
34.83404987,38.59535032
34.87532244,38.59535032
34.91659501,38.59535032
34.95786758,38.59535032
34.99914015,38.6116242
35.04041273,38.64417197
35.0816853,38.66044586
35.12295787,38.66044586
35.16423044,38.66044586
35.20550301,38.62789809
35.24677558,38.59535032
35.28804815,38.62789809
35.32932072,38.66044586
35.37059329,38.66044586
35.41186586,38.66044586
35.45313844,38.67671975
35.49441101,38.69299363
35.53568358,38.67671975
35.57695615,38.62789809
35.61822872,38.57907643
35.65950129,38.56280255
35.70077386,38.56280255
35.74204643,38.54652866
35.783319,38.51398089
35.82459157,38.51398089
35.86586414,38.48143312
35.90713672,38.43261146
35.94840929,38.44888535
35.98968186,38.48143312
36.03095443,38.48143312
36.072227,38.48143312
36.11349957,38.53025478
36.15477214,38.54652866
36.19604471,38.54652866
36.23731728,38.54652866
36.27858985,38.56280255
36.31986242,38.6116242
36.361135,38.64417197
36.40240757,38.66044586
36.44368014,38.66044586
36.48495271,38.66044586
36.52622528,38.66044586
36.56749785,38.62789809
36.60877042,38.57907643
36.65004299,38.56280255
36.69131556,38.56280255
36.73258813,38.56280255
36.77386071,38.6116242
36.81513328,38.67671975
36.85640585,38.69299363
36.89767842,38.69299363
36.93895099,38.70926752
36.98022356,38.74181529
37.02149613,38.75808917
37.0627687,38.75808917
37.10404127,38.74181529
37.14531384,38.7255414
37.18658641,38.7255414
37.22785899,38.70926752
37.26913156,38.69299363
37.31040413,38.69299363
37.3516767,38.67671975
37.39294927,38.66044586
37.43422184,38.66044586
37.47549441,38.66044586
37.51676698,38.64417197
37.55803955,38.62789809
37.59931212,38.62789809
37.64058469,38.62789809
37.68185727,38.62789809
37.72312984,38.64417197
37.76440241,38.66044586
37.80567498,38.62789809
37.84694755,38.59535032
37.88822012,38.59535032
37.92949269,38.6116242
37.97076526,38.62789809
38.01203783,38.62789809
38.0533104,38.66044586
38.09458298,38.69299363
38.13585555,38.69299363
38.17712812,38.69299363
38.21840069,38.69299363
38.25967326,38.69299363
38.30094583,38.69299363
38.3422184,38.69299363
38.38349097,38.70926752
38.42476354,38.74181529
38.46603611,38.75808917
38.50730868,38.75808917
38.54858126,38.74181529
38.58985383,38.70926752
38.6311264,38.69299363
38.67239897,38.69299363
38.71367154,38.67671975
38.75494411,38.62789809
38.79621668,38.57907643
38.83748925,38.56280255
38.87876182,38.54652866
38.92003439,38.54652866
38.96130696,38.57907643
39.00257954,38.66044586
39.04385211,38.70926752
39.08512468,38.70926752
39.12639725,38.70926752
39.16766982,38.67671975
39.20894239,38.62789809
39.25021496,38.59535032
39.29148753,38.59535032
39.3327601,38.62789809
39.37403267,38.66044586
39.41530525,38.66044586
39.45657782,38.66044586
39.49785039,38.64417197
39.53912296,38.6116242
39.58039553,38.62789809
39.6216681,38.66044586
39.66294067,38.66044586
39.70421324,38.66044586
39.74548581,38.67671975
39.78675838,38.69299363
39.82803095,38.69299363
39.86930353,38.67671975
39.9105761,38.66044586
39.95184867,38.64417197
39.99312124,38.64417197
40.03439381,38.6116242
40.07566638,38.51398089
40.11693895,38.43261146
40.15821152,38.38378981
40.19948409,38.36751592
40.24075666,38.36751592
40.28202923,38.38378981
40.32330181,38.43261146
40.36457438,38.48143312
40.40584695,38.49770701
40.44711952,38.51398089
40.48839209,38.53025478
